Wordform_GS2	Lemma_GS2	POS_GS2	Gram_GS2
цветки	цветок	NOUN	inan,masc,plur,nomn
цветки	цветок	NOUN	inan,masc,plur,accs
дикорастущих	дикорастущий	ADJF	plur,gent
дикорастущих	дикорастущий	ADJF	anim,plur,accs
дикорастущих	дикорастущий	ADJF	plur,loct
форм	форма	NOUN	inan,femn,plur,gent
обыкновенной	обыкновенный	ADJF	Qual,femn,sing,gent
обыкновенной	обыкновенный	ADJF	Qual,femn,sing,datv
обыкновенной	обыкновенный	ADJF	Qual,femn,sing,ablt
обыкновенной	обыкновенный	ADJF	Qual,femn,sing,loct
сирени	сирень	NOUN	inan,femn,sing,gent
сирени	сирень	NOUN	inan,femn,sing,datv
сирени	сирень	NOUN	inan,femn,sing,loct
сирени	сирень	NOUN	inan,femn,plur,nomn
сирени	сирень	NOUN	inan,femn,plur,accs
мелкие	мелкий	ADJF	Qual,plur,nomn
мелкие	мелкий	ADJF	Qual,inan,plur,accs
,	,	PNCT	
собраны	собрать	PRTS	perf,past,pssv,plur
парными	парный	ADJF	plur,ablt
парными	парная	NOUN	inan,femn,plur,ablt
парными	парной	ADJF	plur,ablt
пучками	пучок	NOUN	inan,masc,plur,ablt
(	(	PNCT	
по	по	PREP	
3	3	NUMB	intg
-	-	PNCT	
5	5	NUMB	intg
цветков	цветковый	ADJS	Qual,masc,sing
цветков	цветков	NOUN	anim,masc,Sgtm,Surn,sing,nomn
цветков	цветок	NOUN	inan,masc,plur,gent
в	в	PREP	
пучке	пучок	NOUN	inan,masc,sing,loct
,	,	PNCT	
отдельные	отдельный	ADJF	Qual,plur,nomn
отдельные	отдельный	ADJF	Qual,inan,plur,accs
сорта	сорт	NOUN	inan,masc,sing,gent
сорта	сорт	NOUN	inan,masc,plur,nomn
сорта	сорт	NOUN	inan,masc,plur,accs
по	по	PREP	
7	7	NUMB	intg
-	-	PNCT	
9	9	NUMB	intg
цветков	цветковый	ADJS	Qual,masc,sing
цветков	цветков	NOUN	anim,masc,Sgtm,Surn,sing,nomn
цветков	цветок	NOUN	inan,masc,plur,gent
)	)	PNCT	
.	.	PNCT	
в	в	PREP	
конце	конец	NOUN	inan,masc,sing,loct
осени	осень	NOUN	inan,femn,sing,gent
осени	осень	NOUN	inan,femn,sing,datv
осени	осень	NOUN	inan,femn,sing,loct
осени	осень	NOUN	inan,femn,plur,nomn
осени	осень	NOUN	inan,femn,plur,accs
осени	осенить	VERB	perf,tran,sing,impr,excl
кора	кора	NOUN	inan,femn,Sgtm,sing,nomn
побегов	побег	NOUN	inan,masc,plur,gent
становится	становиться	VERB	impf,intr,sing,3per,pres,indc
серой	сера	NOUN	inan,femn,sing,ablt
серой	серый	ADJF	Qual,femn,sing,gent
серой	серый	ADJF	Qual,femn,sing,datv
серой	серый	ADJF	Qual,femn,sing,ablt
серой	серый	ADJF	Qual,femn,sing,loct
.	.	PNCT	
в	в	PREP	
центре	центр	NOUN	inan,masc,sing,loct
цветка	цветок	NOUN	inan,masc,sing,gent
бело-кремовое	бело-кремовый	ADJF	Qual,neut,sing,nomn
бело-кремовое	бело-кремовый	ADJF	Qual,neut,sing,accs
пятнышко	пятнышко	NOUN	inan,neut,sing,nomn
пятнышко	пятнышко	NOUN	inan,neut,sing,accs
в	в	PREP	
виде	вид	NOUN	inan,masc,sing,loct
звёздочки	звёздочка	NOUN	inan,femn,sing,gent
звёздочки	звёздочка	NOUN	inan,femn,plur,nomn
звёздочки	звёздочка	NOUN	inan,femn,plur,accs
.	.	PNCT	
при	при	PREP	
уплотнении	уплотнение	NOUN	inan,neut,sing,loct
почвы	почва	NOUN	inan,femn,sing,gent
почвы	почва	NOUN	inan,femn,plur,nomn
почвы	почва	NOUN	inan,femn,plur,accs
и	и	CONJ	
асфальтировании	асфальтирование	NOUN	inan,neut,sing,loct
суховершинит	суховершинить	VERB	perf,tran,sing,3per,futr,indc
суховершинит	суховершинит	NOUN	inan,masc,sing,nomn
суховершинит	суховершинит	NOUN	inan,masc,sing,accs
.	.	PNCT	
морозостоек	морозостойкий	ADJS	masc,sing
.	.	PNCT	
родина	родина	NOUN	inan,femn,sing,nomn
-	-	PNCT	
горные	горный	ADJF	Qual,plur,nomn
горные	горный	ADJF	Qual,inan,plur,accs
леса	леса	NOUN	inan,femn,sing,nomn
леса	лес	NOUN	inan,masc,sing,gent
леса	лес	NOUN	inan,masc,plur,nomn
леса	лес	NOUN	inan,masc,plur,accs
тянь-шаня	тянь-шань	NOUN	inan,masc,Sgtm,Geox,sing,gent
.	.	PNCT	
дико	дико	ADVB	
дико	дикий	ADJS	Qual,neut,sing
растёт	расти	VERB	impf,intr,sing,3per,pres,indc
на	на	PREP	
сухих	сухой	ADJF	Qual,plur,gent
сухих	сухой	ADJF	Qual,anim,plur,accs
сухих	сухой	ADJF	Qual,plur,loct
сухих	сухой	NOUN	anim,GNdr,Ms-f,Pltm,Surn,plur,gent
сухих	сухой	NOUN	anim,GNdr,Ms-f,Pltm,Surn,plur,accs
сухих	сухой	NOUN	anim,GNdr,Ms-f,Pltm,Surn,plur,loct
склонах	склон	NOUN	inan,masc,plur,loct
в	в	PREP	
умеренно	умеренно	ADVB	
умеренно	умеренный	ADJS	Qual,neut,sing
тёплых	тёплый	ADJF	Qual,plur,gent
тёплых	тёплый	ADJF	Qual,anim,plur,accs
тёплых	тёплый	ADJF	Qual,plur,loct
районах	район	NOUN	inan,masc,plur,loct
на	на	PREP	
обширной	обширный	ADJF	Qual,femn,sing,gent
обширной	обширный	ADJF	Qual,femn,sing,datv
обширной	обширный	ADJF	Qual,femn,sing,ablt
обширной	обширный	ADJF	Qual,femn,sing,loct
территории	территория	NOUN	inan,femn,sing,loct
территории	территория	NOUN	inan,femn,sing,gent
территории	территория	NOUN	inan,femn,sing,datv
территории	территория	NOUN	inan,femn,plur,nomn
территории	территория	NOUN	inan,femn,plur,accs
от	от	PREP	
западной	западный	ADJF	Qual,femn,sing,gent
западной	западный	ADJF	Qual,femn,sing,loct
западной	западный	ADJF	Qual,femn,sing,datv
западной	западный	ADJF	Qual,femn,sing,ablt
европы	европа	NOUN	inan,femn,Sgtm,Geox,sing,gent
до	до	PREP	
восточной	восточный	ADJF	Qual,femn,sing,gent
восточной	восточный	ADJF	Qual,femn,sing,loct
восточной	восточный	ADJF	Qual,femn,sing,datv
восточной	восточный	ADJF	Qual,femn,sing,ablt
азии	азия	NOUN	inan,femn,Sgtm,Geox,sing,gent
азии	азия	NOUN	inan,femn,Sgtm,Geox,sing,loct
азии	азия	NOUN	inan,femn,Sgtm,Geox,sing,datv
.	.	PNCT	
полученное	получить	PRTF	perf,tran,past,pssv,neut,sing,nomn
полученное	получить	PRTF	perf,tran,past,pssv,neut,sing,accs
количество	количество	NOUN	inan,neut,sing,nomn
количество	количество	NOUN	inan,neut,sing,accs
саженцев	саженцевый	ADJS	Qual,masc,sing
саженцев	саженец	NOUN	inan,masc,plur,gent
затем	затем	ADVB	Dmns
распределяют	распределять	VERB	impf,tran,plur,3per,pres,indc
пропорционально	пропорциональный	ADJS	Qual,neut,sing
пропорционально	пропорционально	ADVB	
объёму	объём	NOUN	inan,masc,sing,datv
работ	работа	NOUN	inan,femn,plur,gent
по	по	PREP	
годам	год	NOUN	inan,masc,plur,datv
перспективного	перспективный	ADJF	Qual,neut,sing,gent
перспективного	перспективный	ADJF	Qual,masc,sing,gent
перспективного	перспективный	ADJF	Qual,anim,masc,sing,accs
периода	период	NOUN	inan,masc,sing,gent
и	и	CONJ	
вычисляют	вычислять	VERB	impf,tran,plur,3per,pres,indc
среднегодовую	среднегодовой	ADJF	femn,sing,accs
потребность	потребность	NOUN	inan,femn,sing,nomn
потребность	потребность	NOUN	inan,femn,sing,accs
.	.	PNCT	
дистальнее	дистальнея	NOUN	inan,femn,Sgtm,Geox,sing,datv
дистальнее	дистальнея	NOUN	inan,femn,Sgtm,Geox,sing,loct
дистальнее	дистальный	COMP	
дистальнее	дистальний	ADJF	neut,sing,nomn
дистальнее	дистальний	ADJF	neut,sing,accs
места	место	NOUN	inan,neut,sing,gent
сужения	сужение	NOUN	inan,neut,sing,gent
сужения	сужение	NOUN	inan,neut,plur,nomn
сужения	сужение	NOUN	inan,neut,plur,accs
проток	проток	NOUN	inan,masc,sing,nomn
проток	проток	NOUN	inan,masc,sing,accs
проток	протока	NOUN	inan,femn,plur,gent
не	не	PRCL	
визуализируется	визуализироваться	VERB	impf,intr,sing,3per,pres,indc
.	.	PNCT	
заключение	заключение	NOUN	inan,neut,sing,accs
заключение	заключение	NOUN	inan,neut,sing,nomn
:	:	PNCT	
инфильтративные	инфильтративный	ADJF	plur,nomn
инфильтративные	инфильтративный	ADJF	inan,plur,accs
инфильтративные	инфильтративная	NOUN	inan,femn,plur,nomn
инфильтративные	инфильтративная	NOUN	inan,femn,plur,accs
инфильтративные	инфильтративное	NOUN	inan,neut,plur,nomn
инфильтративные	инфильтративное	NOUN	inan,neut,plur,accs
изменения	изменение	NOUN	inan,neut,sing,gent
изменения	изменение	NOUN	inan,neut,plur,nomn
изменения	изменение	NOUN	inan,neut,plur,accs
в	в	PREP	
зоне	зона	NOUN	inan,femn,sing,loct
гепатикоэнтероанастомоза	гепатикоэнтероанастомоз	NOUN	inan,masc,sing,gent
,	,	PNCT	
в	в	PREP	
воротах	ворот	NOUN	inan,masc,plur,loct
воротах	ворота	NOUN	inan,GNdr,Pltm,plur,loct
печени	печень	NOUN	inan,femn,sing,loct
печени	печень	NOUN	inan,femn,sing,gent
печени	печень	NOUN	inan,femn,sing,datv
печени	печень	NOUN	inan,femn,plur,nomn
печени	печень	NOUN	inan,femn,plur,accs
,	,	PNCT	
во	в	PREP	Vpre
внутрибрюшной	внутрибрюшной	ADJF	masc,sing,nomn
внутрибрюшной	внутрибрюшной	ADJF	inan,masc,sing,accs
внутрибрюшной	внутрибрюшной	ADJF	femn,sing,gent
внутрибрюшной	внутрибрюшной	ADJF	femn,sing,datv
внутрибрюшной	внутрибрюшной	ADJF	femn,sing,ablt
внутрибрюшной	внутрибрюшной	ADJF	femn,sing,loct
жировой	жиров	NOUN	anim,femn,Sgtm,Surn,sing,gent
жировой	жиров	NOUN	anim,femn,Sgtm,Surn,sing,datv
жировой	жиров	NOUN	anim,femn,Sgtm,Surn,sing,ablt
жировой	жиров	NOUN	anim,femn,Sgtm,Surn,sing,loct
