Wordform_GS2	Lemma_GS2	POS_GS2	Gram_GS2
Цветки	Цветка	NOUN	inan,nom,fem,plur
дикорастущих	дикорастущий	ADJ	gen,pos,plur
форм	форма	NOUN	inan,gen,fem,plur
обыкновенной	обыкновенный	ADJ	gen,pos,fem,sing
сирени	сирена	NOUN	inan,gen,fem,sing
мелкие	мелкий	ADJ	nom,pos,plur
,	,	PUNCT	
собраны	собрать	VERB	perf,plur,past,short,part,pass
парными	парной	ADJ	ins,pos,plur
пучками	пучок	NOUN	inan,ins,fem,plur
(	(	PUNCT	
по	по	ADP	
3	3	NUM	
-	-	PUNCT	
5	5	NUM	
цветков	цветок	NOUN	inan,gen,masc,plur
в	в	ADP	
пучке	пучок	NOUN	inan,loc,fem,sing
,	,	PUNCT	
отдельные	отдельный	ADJ	nom,pos,plur
сорта	сорт	NOUN	inan,nom,masc,plur
по	по	ADP	
7	7	NUM	
-	-	PUNCT	
9	9	NUM	
цветков	цветок	NOUN	inan,gen,masc,plur
)	)	PUNCT	
.	.	PUNCT	
В	в	ADP	
конце	конец	NOUN	inan,loc,masc,sing
осени	осень	NOUN	inan,gen,fem,sing
кора	кора	NOUN	inan,nom,fem,sing
побегов	побег	NOUN	inan,gen,masc,plur
становится	становиться	VERB	imp,ind,sing,3,pres,fin,mid
серой	серый	ADJ	ins,pos,fem,sing
.	.	PUNCT	
В	в	ADP	
центре	центр	NOUN	inan,loc,masc,sing
цветка	цветок	NOUN	inan,gen,masc,sing
бело	белый	ADJ	pos,neut,sing,short
-	-	PUNCT	
кремовое	кремовый	ADJ	nom,pos,neut,sing
пятнышко	пятнышко	NOUN	inan,nom,neut,sing
в	в	ADP	
виде	вид	NOUN	inan,loc,masc,sing
звездочки	звездочка	NOUN	inan,gen,fem,sing
.	.	PUNCT	
При	при	ADP	
уплотнении	уплотнение	NOUN	inan,loc,neut,sing
почвы	почва	NOUN	inan,gen,fem,sing
и	и	CCONJ	
асфальтировании	асфальтирование	NOUN	inan,loc,neut,sing
суховершинит	суховершинить	VERB	perf,ind,sing,3,fut,fin,act
.	.	PUNCT	
Морозостоек	Морозостойка	NOUN	anim,nom,masc,sing
.	.	PUNCT	
Родина	родина	NOUN	inan,nom,fem,sing
-	-	PUNCT	
горные	горный	ADJ	nom,pos,plur
леса	лес	NOUN	inan,nom,masc,plur
Тянь-Шаня	Тянь-Шаня	PROPN	inan,gen,masc,sing
.	.	PUNCT	
Дико	дико	ADV	pos
растет	расти	VERB	imp,ind,sing,3,pres,fin,act
на	на	ADP	
сухих	сухой	ADJ	loc,pos,plur
склонах	склон	NOUN	inan,loc,masc,plur
в	в	ADP	
умеренно	умеренно	ADV	pos
теплых	теплый	ADJ	loc,pos,plur
районах	район	NOUN	inan,loc,masc,plur
на	на	ADP	
обширной	обширный	ADJ	loc,pos,fem,sing
территории	территория	NOUN	inan,loc,fem,sing
от	от	ADP	
Западной	Западный	PROPN	
Европы	Европа	PROPN	inan,gen,fem,sing
до	до	ADP	
восточной	восточный	ADJ	gen,pos,fem,sing
Азии	Азия	PROPN	inan,gen,fem,sing
.	.	PUNCT	
Полученное	получить	ADJ	nom,pos,neut,sing
количество	количество	NOUN	inan,nom,neut,sing
саженцев	саженец	NOUN	anim,gen,masc,plur
затем	затем	ADV	pos
распределяют	распределять	VERB	imp,ind,plur,3,pres,fin,act
пропорционально	пропорционально	ADV	pos
объему	объем	NOUN	inan,dat,masc,sing
работ	работа	NOUN	inan,gen,fem,plur
по	по	ADP	
годам	год	NOUN	inan,dat,masc,plur
перспективного	перспективный	ADJ	gen,pos,masc,sing
периода	период	NOUN	inan,gen,masc,sing
и	и	CCONJ	
вычисляют	вычислять	VERB	imp,ind,plur,3,pres,fin,act
среднегодовую	среднегодовой	ADJ	acc,pos,fem,sing
потребность	потребность	NOUN	inan,acc,fem,sing
.	.	PUNCT	
Дистальнее	Дистальный	ADJ	cmp
места	место	NOUN	inan,nom,neut,plur
сужения	сужение	NOUN	inan,gen,neut,sing
проток	протка	NOUN	inan,gen,fem,plur
не	не	PART	
визуализируется	визуализируться	VERB	imp,ind,sing,3,pres,fin,pass
.	.	PUNCT	
ЗАКЛЮЧЕНИЕ	заключение	NOUN	inan,nom,neut,sing
:	:	PUNCT	
Инфильтративные	Инфильтративный	ADJ	nom,pos,plur
изменения	изменение	NOUN	inan,nom,neut,plur
в	в	ADP	
зоне	зона	NOUN	inan,loc,fem,sing
гепатикоэнтероанастомоза	гепатикоэнтероанастомоз	NOUN	inan,gen,masc,sing
,	,	PUNCT	
в	в	ADP	
воротах	ворота	NOUN	inan,loc,fem,plur
печени	печень	NOUN	inan,gen,fem,sing
,	,	PUNCT	
во	в	ADP	
внутрибрюшной	внутрибрюшный	ADJ	loc,pos,fem,sing
жировой	жировой	ADJ	loc,pos,fem,sing
клетчатке	клетчатка	NOUN	inan,loc,fem,sing
.	.	PUNCT	
Золотовалютные	золотовалютный	ADJ	nom,pos,plur
резервы	резерв	NOUN	inan,nom,masc,plur
увеличились	увеличиться	VERB	perf,ind,plur,past,fin,mid
на	на	ADP	
170	170	NUM	
миллиардов	миллиард	NOUN	inan,gen,masc,plur
долларов	доллар	NOUN	inan,gen,masc,plur
и	и	CCONJ	
приближаются	приближаться	VERB	imp,ind,plur,3,pres,fin,mid
к	к	ADP	
отметке	отметка	NOUN	inan,dat,fem,sing
в	в	ADP	
полтриллиона	полтриллион	NOUN	inan,gen,masc,sing
долларов	доллар	NOUN	inan,gen,masc,plur
США	США	PROPN	inan,gen,plur
-	-	PUNCT	
точнее	точно	ADV	cmp
,	,	PUNCT	
478,6	478,6	NUM	
,	,	PUNCT	
по	по	ADP	
последним	последний	ADJ	dat,pos,plur
данным	данные	NOUN	inan,dat,plur
(	(	PUNCT	
чуть	чуть	ADV	pos
-чуть	-чуть	PART	
понижение	понижение	NOUN	inan,nom,neut,sing
произошло	произойти	VERB	perf,neut,ind,sing,past,fin,act
в	в	ADP	
связи	связь	NOUN	inan,loc,fem,sing
с	с	ADP	
изменением	изменение	NOUN	inan,ins,neut,sing
курса	курс	NOUN	inan,gen,masc,sing
доллара	доллар	NOUN	inan,gen,masc,sing
)	)	PUNCT	
.	.	PUNCT	
Это	это	PRON	inan,nom,neut,sing
вершина	вершина	NOUN	inan,nom,fem,sing
тесного	тесный	ADJ	gen,pos,neut,sing
и	и	CCONJ	
плодотворного	плодотворный	ADJ	gen,pos,neut,sing
сотрудничества	сотрудничество	NOUN	inan,gen,neut,sing
между	между	ADP	
нашими	наш	DET	ins,plur
странами	страна	NOUN	inan,ins,fem,plur
.	.	PUNCT	
Мы	мы	PRON	nom,plur,1
еще	еще	ADV	pos
некоторое	некоторый	DET	acc,neut,sing
время	время	NOUN	inan,acc,neut,sing
разговариваем	разговаривать	VERB	imp,ind,plur,1,pres,fin,act
с	с	ADP	
Епископом	епископ	PROPN	anim,ins,masc,sing
Лукианом	Лукиан	PROPN	anim,ins,masc,sing
,	,	PUNCT	
потом	потом	ADV	pos
он	он	PRON	nom,masc,sing,3
провожает	провожать	VERB	imp,ind,sing,3,pres,fin,act
меня	я	PRON	acc,sing,1
до	до	ADP	
ворот	ворота	NOUN	inan,gen,neut,plur
Резиденции	резиденция	PROPN	inan,gen,fem,sing
,	,	PUNCT	
откуда	откуда	ADV	pos
навстречу	навстречу	ADV	pos
нам	мы	PRON	dat,plur,1
идет	идти	VERB	imp,ind,sing,3,pres,fin,act
многочисленный	многочисленный	ADJ	nom,pos,masc,sing
и	и	CCONJ	
многоязычный	многоязычный	ADJ	nom,pos,masc,sing
поток	поток	NOUN	inan,nom,masc,sing
людей	человек	NOUN	anim,gen,masc,plur
,	,	PUNCT	
желающих	желать	VERB	imp,gen,plur,pres,part,act
осмотреть	осмотреть	VERB	perf,inf,act
экспонаты	экспонат	NOUN	inan,acc,masc,plur
